Titre,Origine,Source Statuts,Age Rating,Date de sortie,Total Chapter,Type,Genres,Image
"
1-nen A-gumi No Monster
",Japon,EnCours,+14ans,2018,2,Shounen,"Psychologique,Comédie,Ecole,Romance,SliceOfLife",https://www.japscan.me/imgs/mangas/1-nen-a-gumi-no-monster.jpg
"
1 Second
",CoréeDuSud,EnCours,+14ans,2019,6,null,"Psychologique,Comédie,Ecole,Romance,SliceOfLife",https://www.japscan.me/imgs/mangas/1-second.jpg
"
2001 Night Stories
",Japon,Terminé,+14ans,1984,3,Seinen,"Suspense,Mystère,Espace,Science-fiction",https://www.japscan.me/imgs/mangas/2001-night-stories.jpg
"
20 Seiki Shounen No Wakiyaku - Ujiko Ujio Sakuhinshuu
",Japon,Terminé,+14ans,2010,1,Seinen,"Suspense,Drame,Mystère,Surnaturel,Post-Apocalyptique,Action,Comédie,Amitié,Justicier,Enquête,Jeunesse,Thriller,SliceOfLife",https://www.japscan.me/imgs/mangas/20-seiki-shounen-no-wakiyaku-ujiko-ujio-sakuhinshuu.jpg
"
20th Century Boys
",Japon,Terminé,+16ans,1999,22,Seinen,"Suspense,Drame,Mature,Mystère,Action,Amitié,Tragédie,Science-fiction,Yakuza,Psychologie,Post-apocalypse,Justicier,Enquête,Jeunesse,Thriller,PouvoirsPsychiques",https://www.japscan.me/imgs/mangas/20th-century-boys.jpg
"
20 Twenty
",Japon,EnCours,+16ans,2018,76,ShounenAi,"TrancheDeVie,Comédie,Webtoon",https://www.japscan.me/imgs/mangas/20-twenty.jpg
"
21H19MIN19S
",Japon,EnCours,+16ans,2020,4,null,"TrancheDeVie,Comédie,Webtoon",https://www.japscan.me/imgs/mangas/21h19min19s.jpg
"
21st Century Boys
",Japon,Terminé,+14ans,2007,2,Seinen,"Suspense,Drame,Mature,Mystère,Action,Tragédie,Science-fiction,Psychologie",https://www.japscan.me/imgs/mangas/21st-century-boys.jpg
"
23:45 Re:
",Japon,Terminé,+14ans,2016,4,Yaoi,"Drame,Surnaturel,Romance",https://www.japscan.me/imgs/mangas/23-45-re.jpg
"
2.5 Dimensional Seduction
",Japon,EnCours,+14ans,2019,7,Shōnen,"Drame,SchoolLife,Ecchi,TrancheDeVie,Comédie,Romance,Harem",https://www.japscan.me/imgs/mangas/2-5-dimensional-seduction.jpg
