Titre,Origine,Source Statuts,Age Rating,Date de sortie,Total Chapter,Type,Genres,Image
"
0.0 Mhz
",CoréeDuSud,EnCours,+12ans,2012,4,Seinen,"Psychologique,Horreur,Webtoon",https://www.japscan.me/imgs/mangas/0-0-mhz.jpg
"
07 Ghost
",Japon,Terminé,+12ans,2005,17,Josei,"Fantastique,Drame,Mystère,Surnaturel,Démons,Action,Militaire,Comédie,Magie,Aventure,Religion",https://www.japscan.me/imgs/mangas/07-ghost.jpg
"
090 Eko To Issho
",Japon,EnPause,+12ans,2006,31,Shōnen,"Fantastique,Drame,SchoolLife,TrancheDeVie,Comédie,Romance,Science-fiction",https://www.japscan.me/imgs/mangas/090-eko-to-issho.jpg
"
100,000 Levels Of Body Refining : All The Dogs I Raise Are The Emperor
",Chine,EnCours,+12ans,2021,17,Shōnen,"Action,Harem,ArtsMartiaux,Webtoon",https://www.japscan.me/imgs/mangas/100-000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor.jpg
"
100 Demons Of Love
",Japon,Terminé,+12ans,2012,7,Shōjo,"Fantastique,Drame,Mystère,SchoolLife,Surnaturel,Comédie,Ecole,Romance",https://www.japscan.me/imgs/mangas/100-demons-of-love.jpg
"
100% Doubt
",Japon,Terminé,+12ans,2000,6,Shōjo,"Drame,SchoolLife,TrancheDeVie,Comédie,Romance",https://www.japscan.me/imgs/mangas/100-doubt.jpg
"
100% Gokuama Kareshi!
",Japon,EnCours,+14ans,2009,3,Shōjo,"Drame,SchoolLife,Comédie,Romance,HistoiresCourtes",https://www.japscan.me/imgs/mangas/100-gokuama-kareshi.jpg
"
100 Jours Avant Ta Mort
",Japon,EnCours,+12ans,2018,6,Shōjo,"Drame,SchoolLife,Comédie,Romance,SliceOfLife",https://www.japscan.me/imgs/mangas/100-jours-avant-ta-mort.jpg
"
100 Jours de Rêve
",Japon,Terminé,+12ans,2005,00,Shōjo,"Fantastique,Drame,Surnaturel,TrancheDeVie,Rêves",https://www.japscan.me/imgs/mangas/100-jours-de-reve.jpg
"
100-Nin No Eiyuu O Sodateta Saikyou Yogensha Wa, Boukensha Ni Natte Mo Sekaijuu No Deshi Kara Shitawarete Masu
",Japon,EnCours,+12ans,2018,6,Shōnen,"Action,Comédie,Aventure,Isekai,Fantasy",https://www.japscan.me/imgs/mangas/100-nin-no-eiyuu-o-sodateta-saikyou-yogensha-wa-boukensha-ni-natte-mo-sekaijuu-no-deshi-kara-shitawarete-masu.jpg
